Robot ID,Task Type,Action Start Time,Action End Time,Action Duration (ms),Comm Type,Packet Size (bytes),Latency (ms),Throughput (Mbps),Packet Loss (%),Jitter (ms),SNR (dB),Bandwidth Allocation (Mbps),AI Decision Time (ms),Model Accuracy (%),Error Rate (%),Environment Type,Robot Type,Task Complexity,Interaction Density
R89,Inspection,2025-01-07 14:34:00,2025-01-07 14:34:37,37000.0,Robot-to-Human,1095,72.85011297431878,767.1450789374777,1.1406377543840722,1.4474502180981799,20.122141698631832,118.71416993748439,62,92.29526604370756,3.865406587197656,Healthcare Facility,Service Robot,Complex,7
R49,Navigation,2025-01-01 12:31:00,2025-01-01 12:31:24,24000.0,Robot-to-Network,554,60.27032149980799,358.6226566446921,1.9207825004695795,2.890763124788913,27.97956296503493,489.4399501989215,36,90.25119751744982,0.31196858262211524,Healthcare Facility,Industrial Robot,Medium,1
R91,Collaboration,2025-01-06 09:36:00,2025-01-06 09:36:33,33000.0,Robot-to-Human,1474,97.2209804436319,832.0305776287037,0.7805897912093536,3.033872598623277,26.895722174718262,378.9117942479763,91,93.76956523374682,4.989690071650234,Healthcare Facility,Service Robot,Complex,7
R59,Navigation,2025-01-07 03:29:00,2025-01-07 03:29:33,33000.0,Robot-to-Human,1856,75.71849685080241,944.1176104754144,1.9364073079143032,3.254909792423666,22.57964823997426,391.8911627276793,51,95.93491123096895,0.7490860934957266,Warehouse,Industrial Robot,Medium,1
R42,Navigation,2025-01-07 20:12:00,2025-01-07 20:12:57,57000.0,Robot-to-Human,1853,89.54879359279313,479.0218756632589,1.3133840739949219,2.4457561374624492,24.90103865731614,330.0170885394135,80,90.62905477593809,3.290749843508374,Factory Floor,Industrial Robot,Medium,2
R92,Object Manipulation,2025-01-01 11:40:00,2025-01-01 11:40:25,25000.0,Robot-to-Network,1751,39.02707241817902,566.3122531711201,1.5908912471826164,4.424473419275279,27.284061413277385,168.53678837731013,98,98.25404961817173,1.8960560107387192,Warehouse,Service Robot,Medium,7
R60,Object Manipulation,2025-01-07 10:32:00,2025-01-07 10:32:05,5000.0,Robot-to-Robot,1726,82.97457130171199,820.6727089038552,0.6660064832809258,2.213828116357607,26.665385971967925,313.60660644824657,84,93.08099876685148,2.7181959754671787,Factory Floor,Autonomous Vehicle,Complex,8
R80,Navigation,2025-01-02 01:40:00,2025-01-02 01:40:55,55000.0,Robot-to-Network,1181,72.13085033032222,473.90846387403695,0.44884421165832844,2.940913942680878,23.206204946011187,410.6909899563924,60,93.1134203415238,3.5714180225802385,Warehouse,Service Robot,Complex,3
R15,Collaboration,2025-01-03 02:32:00,2025-01-03 02:32:38,38000.0,Robot-to-Human,2025,51.579419287232994,679.5711947343636,1.1536204668995942,1.775342645407402,23.697452952743067,383.3941343703721,83,92.9994081075415,1.5116503832271955,Factory Floor,Industrial Robot,Medium,1
R62,Collaboration,2025-01-05 06:47:00,2025-01-05 06:47:48,48000.0,Robot-to-Network,601,39.54534733369099,761.9627854410833,1.9815022398097206,3.291402047508468,21.542306913787073,356.7205372598875,56,98.09806333455927,0.5116579887042882,Healthcare Facility,Industrial Robot,Complex,9
R62,Collaboration,2025-01-05 10:04:00,2025-01-05 10:04:59,59000.0,Robot-to-Human,1957,56.57530240497818,915.4917726419613,1.4203794870423638,1.788686165548202,21.37628829762078,132.9127540223522,73,98.50519771626813,3.2849676980624247,Warehouse,Autonomous Vehicle,Complex,9
R47,Inspection,2025-01-02 09:03:00,2025-01-02 09:03:36,36000.0,Robot-to-Human,2026,60.89640170486206,541.756018970176,1.3632493170407407,1.966018671703352,24.048680349661527,359.03173374458544,89,98.01794139793193,0.12779032508851318,Warehouse,Service Robot,Simple,7
R62,Navigation,2025-01-06 21:46:00,2025-01-06 21:46:49,49000.0,Robot-to-Robot,1127,39.853385264852,644.8537617733027,0.9002048389529276,2.7494474299166924,24.796592634902943,126.87126108022113,82,97.09697524612288,1.124633570307838,Healthcare Facility,Autonomous Vehicle,Medium,6
R51,Navigation,2025-01-05 00:36:00,2025-01-05 00:36:18,18000.0,Robot-to-Human,1074,76.90888210508844,429.21958472418976,1.7589696169920988,2.1110404486955554,29.506977897889158,467.0754204527541,46,92.34322705614107,0.04343550049508926,Healthcare Facility,Industrial Robot,Complex,4
R55,Inspection,2025-01-06 07:28:00,2025-01-06 07:28:41,41000.0,Robot-to-Human,1789,51.49767565058476,515.3273343377771,1.3939356402434662,1.1605182150924227,25.054277096461234,441.6902156680867,65,96.66577243735429,3.6764200587010407,Warehouse,Industrial Robot,Medium,4
R64,Navigation,2025-01-06 11:34:00,2025-01-06 11:34:39,39000.0,Robot-to-Human,1642,86.42276150267531,366.4554748961133,1.3497663131090032,4.185727194005098,21.897588696139273,109.34755285327586,95,92.62511906670092,4.412916438303932,Warehouse,Industrial Robot,Simple,8
R3,Navigation,2025-01-02 14:34:00,2025-01-02 14:34:28,28000.0,Robot-to-Robot,1829,75.38441441014552,438.34642151637036,0.5850651618874689,4.280560714432015,21.692352413594424,185.53396628653246,31,93.38972203031615,1.6235155216218056,Warehouse,Autonomous Vehicle,Simple,7
R51,Inspection,2025-01-06 12:39:00,2025-01-06 12:39:53,53000.0,Robot-to-Network,2046,51.73516909629866,542.347929151646,1.9154667973027217,4.602855638740076,23.452582527486662,327.69523096716364,49,91.29308505443073,1.5738677522442845,Warehouse,Service Robot,Simple,9
R7,Object Manipulation,2025-01-02 03:29:00,2025-01-02 03:29:05,5000.0,Robot-to-Robot,1771,55.20137298628729,596.9902758698194,0.5007758328138268,4.9195474771496315,29.188051803142553,117.95773614444332,39,94.74796816068331,0.48715913719925175,Healthcare Facility,Service Robot,Complex,6
R21,Navigation,2025-01-06 08:20:00,2025-01-06 08:20:50,50000.0,Robot-to-Network,2033,95.95032931314744,794.8142561185882,1.047374100414384,1.452971146450912,27.938540988753225,463.890520366061,98,97.25976277092418,0.21243685475130114,Warehouse,Autonomous Vehicle,Simple,7
R73,Inspection,2025-01-05 19:00:00,2025-01-05 19:00:10,10000.0,Robot-to-Human,1346,96.36836643770569,620.9142448847857,0.6791113597386254,2.0980195309402996,24.938302255806963,459.4816464765417,87,96.10498783720666,1.178213977707151,Factory Floor,Autonomous Vehicle,Medium,6
R39,Collaboration,2025-01-03 15:20:00,2025-01-03 15:20:53,53000.0,Robot-to-Network,867,59.285958675331266,334.33439958195913,0.36155050884629003,3.5224729496986646,29.557834086485215,167.62858800815152,76,93.40609457775716,4.297273009489084,Warehouse,Industrial Robot,Simple,3
R18,Object Manipulation,2025-01-02 17:18:00,2025-01-02 17:18:08,8000.0,Robot-to-Network,1128,77.54190554843024,829.0217650433776,0.2881867544069834,4.505476294973668,22.154839647136978,468.21381051267275,92,96.0261440925929,3.0096564310572775,Factory Floor,Service Robot,Simple,9
R4,Collaboration,2025-01-07 22:07:00,2025-01-07 22:07:42,42000.0,Robot-to-Network,1278,98.59805254735764,672.957780818525,0.5857798571894737,1.6492481578976985,24.34541463799385,381.2238329446615,68,95.7039114589301,0.0568257720029447,Factory Floor,Service Robot,Simple,4
R89,Navigation,2025-01-05 21:34:00,2025-01-05 21:34:05,5000.0,Robot-to-Network,815,99.58359055381776,957.5859214134485,1.377958849178666,2.934184025534947,20.010286308971487,284.7692868991733,91,94.86598836106694,3.0473258419605775,Warehouse,Autonomous Vehicle,Complex,2
R60,Object Manipulation,2025-01-05 04:59:00,2025-01-05 04:59:45,45000.0,Robot-to-Human,2027,35.04939579918073,744.6680451492866,1.9495641403469965,4.915146960932832,28.66677256306321,283.7272463955687,89,92.41080620241944,0.25272295247528165,Warehouse,Service Robot,Complex,1
R14,Inspection,2025-01-07 21:59:00,2025-01-07 21:59:35,35000.0,Robot-to-Robot,1095,68.74493968229078,673.7522628020997,1.7065340350895581,2.324109555512203,21.578336233592264,225.94535699313093,61,90.25914428187517,2.092420614345416,Warehouse,Industrial Robot,Medium,5
R9,Navigation,2025-01-06 20:33:00,2025-01-06 20:33:40,40000.0,Robot-to-Network,1652,80.86320716918054,506.100203302268,0.4360546984194287,2.9644116624701566,29.57699940511839,334.30009767831984,92,90.34311819587785,4.672455001580719,Healthcare Facility,Autonomous Vehicle,Medium,4
R90,Inspection,2025-01-05 07:29:00,2025-01-05 07:29:13,13000.0,Robot-to-Human,878,43.08062789036894,465.5222755547876,0.1568256101022647,3.7752088269583512,25.071861898447587,340.6714653138574,68,98.56552699887875,3.1374669933121546,Healthcare Facility,Autonomous Vehicle,Simple,4
R53,Object Manipulation,2025-01-05 22:35:00,2025-01-05 22:35:45,45000.0,Robot-to-Human,970,87.53335164151778,461.0236467861215,1.3733612488390536,2.6869051128929304,29.939511079383365,168.06616140257754,47,97.80829889313182,3.0595644959801502,Factory Floor,Industrial Robot,Complex,1
R2,Collaboration,2025-01-02 13:36:00,2025-01-02 13:36:58,58000.0,Robot-to-Human,631,62.791804013759226,584.9859783189913,0.0600689902348599,3.8701584734377747,25.413131561269843,293.5445660008294,53,92.13408434226483,3.3730227013053424,Warehouse,Industrial Robot,Complex,2
R84,Navigation,2025-01-03 08:08:00,2025-01-03 08:08:49,49000.0,Robot-to-Human,1748,64.84261127505377,419.959991765531,1.7182455106912384,1.59061704751243,24.554428988916996,144.14416452070355,31,91.74950953379444,0.6944291309737055,Factory Floor,Service Robot,Complex,2
R92,Navigation,2025-01-06 03:07:00,2025-01-06 03:07:27,27000.0,Robot-to-Network,1718,49.20261318923543,890.9468636632815,1.6510954880506787,1.9223882191418835,24.721532158756567,409.2197379656033,45,92.72840278678066,0.4668665685056772,Factory Floor,Industrial Robot,Medium,1
R60,Inspection,2025-01-06 22:38:00,2025-01-06 22:38:35,35000.0,Robot-to-Robot,1874,51.010333423487054,863.6381797418866,1.5874006321568372,2.5475655571474345,28.357712462301137,418.0705031499988,80,95.15048610043186,1.862124067453308,Healthcare Facility,Service Robot,Simple,6
R71,Object Manipulation,2025-01-02 23:07:00,2025-01-02 23:07:33,33000.0,Robot-to-Human,2013,35.89212320232508,810.1933506821936,1.1048407357197347,4.935622976078763,23.623572573544568,442.2294572887225,83,90.15544445319247,0.9477901461999988,Factory Floor,Industrial Robot,Simple,9
R44,Inspection,2025-01-07 13:24:00,2025-01-07 13:24:53,53000.0,Robot-to-Robot,2029,95.20611916756333,334.12553819574765,1.9470680682303423,2.395098816356706,28.533282854404547,118.11175952153165,85,98.02943583228395,0.1157401321687046,Factory Floor,Service Robot,Complex,7
R8,Object Manipulation,2025-01-02 17:27:00,2025-01-02 17:27:25,25000.0,Robot-to-Robot,1766,56.73067461373777,350.3341093545715,0.9167328055264647,4.662165861671417,28.86358280419079,366.5137010203649,91,96.97140476856497,1.7009292430972456,Factory Floor,Autonomous Vehicle,Simple,1
R47,Navigation,2025-01-03 12:03:00,2025-01-03 12:03:07,7000.0,Robot-to-Robot,875,41.35610150470248,745.4976975584539,1.9730649296087497,4.49949753565006,22.888456592067136,450.341353980088,89,94.75527692730353,2.486116335042452,Factory Floor,Industrial Robot,Medium,1
R35,Object Manipulation,2025-01-03 10:41:00,2025-01-03 10:41:30,30000.0,Robot-to-Human,1981,39.96482945675095,824.2777940617988,1.7637430000571277,4.023220223393727,29.26833633897101,234.12029526343238,49,97.79066370149025,0.25184763939143595,Warehouse,Industrial Robot,Medium,4
R78,Navigation,2025-01-04 03:17:00,2025-01-04 03:17:10,10000.0,Robot-to-Human,995,58.518426832529684,318.7011586058317,0.2530839477862452,2.4813807356619613,21.906209092734574,416.9160142246592,93,94.93652292006583,4.859638006692625,Warehouse,Autonomous Vehicle,Complex,7
R81,Object Manipulation,2025-01-02 03:23:00,2025-01-02 03:23:24,24000.0,Robot-to-Human,1363,74.25455291559476,503.3501538239276,1.7897950891004406,2.321768859066667,28.265532114006902,102.2848363164337,97,90.79804120552498,3.825777577618108,Factory Floor,Industrial Robot,Medium,4
R36,Collaboration,2025-01-01 20:12:00,2025-01-01 20:12:51,51000.0,Robot-to-Robot,1461,84.44474845352369,395.3982323798009,0.6097345848034534,3.5587721863472788,21.687255636142787,366.112242872573,78,95.02294287422372,3.688494172184054,Healthcare Facility,Industrial Robot,Simple,3
R50,Object Manipulation,2025-01-06 02:25:00,2025-01-06 02:25:50,50000.0,Robot-to-Human,757,94.72234406475962,461.89528897325727,1.5365009315970006,1.9302595386087877,27.177178006362066,196.27454270350677,55,94.32579380393683,4.400688870143364,Factory Floor,Autonomous Vehicle,Simple,2
R4,Collaboration,2025-01-04 06:23:00,2025-01-04 06:23:17,17000.0,Robot-to-Human,1275,74.49914336725085,662.8639022439877,0.0004183193325699719,2.4420684849296133,29.756174888085965,131.27431994846597,81,96.24856742883773,2.951489333850362,Factory Floor,Autonomous Vehicle,Simple,6
R2,Object Manipulation,2025-01-04 18:34:00,2025-01-04 18:34:45,45000.0,Robot-to-Robot,1760,59.4463227336371,376.4712915664564,0.5516947525616864,4.260538447827013,20.76125141080544,300.08550634467866,90,93.11500450129493,2.1909301072982617,Factory Floor,Autonomous Vehicle,Complex,4
R6,Object Manipulation,2025-01-01 00:19:00,2025-01-01 00:19:27,27000.0,Robot-to-Human,1692,59.53625238545356,460.88389181167656,1.5168967500621657,1.8428599528808007,21.96346279619017,246.6252276738234,38,93.24269330789372,2.4224450214786666,Factory Floor,Industrial Robot,Simple,7
R54,Inspection,2025-01-01 11:15:00,2025-01-01 11:15:19,19000.0,Robot-to-Network,1142,70.20638731818141,695.435876401886,1.9446946313243085,4.312485384662494,23.53059006574327,338.6557285328736,34,98.47813182396683,0.9852961274828187,Healthcare Facility,Industrial Robot,Complex,8
R4,Inspection,2025-01-04 02:37:00,2025-01-04 02:37:50,50000.0,Robot-to-Network,876,67.66286271483614,655.6763518761763,0.34192518223507395,3.208046162292064,23.6012580429723,442.46825183891514,59,98.27169306408261,1.900851641331397,Factory Floor,Service Robot,Simple,3
R54,Navigation,2025-01-01 10:08:00,2025-01-01 10:08:35,35000.0,Robot-to-Network,1413,74.85702250697065,900.3137105832881,0.9188234821784023,3.0462646434948284,21.821487311053907,256.8167124972326,33,98.10512450353386,3.988386734486294,Warehouse,Service Robot,Medium,5
R93,Inspection,2025-01-05 08:46:00,2025-01-05 08:46:08,8000.0,Robot-to-Network,697,65.23873002805419,405.40580631624016,1.1743393874647459,3.454479925006741,24.968761162530505,470.69194173291623,60,93.73375898084664,2.510974770995547,Factory Floor,Service Robot,Simple,9
R63,Object Manipulation,2025-01-01 01:01:00,2025-01-01 01:01:15,15000.0,Robot-to-Robot,2030,34.1293596193334,558.9193149823473,1.905125108061452,3.5256655415867257,27.907250427342156,207.3946771723526,43,96.74581336141777,0.9172531622610963,Warehouse,Industrial Robot,Simple,6
R18,Inspection,2025-01-07 13:37:00,2025-01-07 13:37:58,58000.0,Robot-to-Human,1720,65.05098462665136,947.0517947397851,0.9065379122448929,3.2333373551939424,28.02643227026464,411.1684514101222,54,98.456976158045,4.311674089043516,Factory Floor,Autonomous Vehicle,Simple,5
R90,Object Manipulation,2025-01-01 19:14:00,2025-01-01 19:14:06,6000.0,Robot-to-Network,1922,31.57732861786358,857.0587785049178,1.8670694598118633,3.8057168295167725,24.66207285988888,356.2594008526867,57,98.70188722145217,3.2502889949169207,Healthcare Facility,Industrial Robot,Medium,3
R44,Collaboration,2025-01-07 19:40:00,2025-01-07 19:40:20,20000.0,Robot-to-Network,791,42.64255745673521,718.1501318931957,1.9563759348677365,2.4320635257278878,23.135137486720172,306.09277249315943,44,92.18410681983056,2.9926223335598316,Warehouse,Autonomous Vehicle,Simple,5
R34,Object Manipulation,2025-01-07 19:38:00,2025-01-07 19:38:55,55000.0,Robot-to-Human,1253,57.11993687832027,838.294771169565,1.8832639073402566,4.2429007774068905,22.416712338422375,279.7191076093573,96,91.9309440210849,4.846472250790368,Healthcare Facility,Industrial Robot,Simple,6
R74,Navigation,2025-01-03 13:56:00,2025-01-03 13:56:35,35000.0,Robot-to-Robot,2017,68.59158108387595,613.8665469136033,1.4974609286507357,1.8848197315423643,27.155186145521306,465.4459425933699,38,94.48130297172922,4.626116937587761,Warehouse,Service Robot,Simple,5
R62,Collaboration,2025-01-04 15:22:00,2025-01-04 15:22:52,52000.0,Robot-to-Network,1800,42.93727254382813,937.4810236816465,0.2524612210498034,3.8573610128261224,20.8524355787639,359.3491434764923,95,97.82631139963341,0.7325942701224958,Healthcare Facility,Service Robot,Simple,9
R100,Navigation,2025-01-04 20:39:00,2025-01-04 20:39:43,43000.0,Robot-to-Human,863,49.341046115410336,719.7595074003546,1.2048267322332293,2.5416667134327775,25.45301283328847,244.45637812244675,52,94.75517175890295,3.7118187728312213,Healthcare Facility,Autonomous Vehicle,Simple,8
R14,Navigation,2025-01-04 11:42:00,2025-01-04 11:42:47,47000.0,Robot-to-Human,1100,56.19476961711718,786.9450333861744,1.5070535661590263,3.7794452051161094,25.414595964743757,320.88562250805546,77,97.12672114174562,4.517994617696024,Factory Floor,Industrial Robot,Complex,7
R95,Navigation,2025-01-05 12:05:00,2025-01-05 12:05:48,48000.0,Robot-to-Network,593,43.80506427717662,756.3902568290586,1.9098118620903257,1.1296935585411725,21.127734613991226,320.4990403038812,62,94.27018117229164,4.308622906909025,Healthcare Facility,Service Robot,Medium,7
R48,Inspection,2025-01-02 00:02:00,2025-01-02 00:02:08,8000.0,Robot-to-Network,1716,99.9134495811159,770.9351730996724,1.5559198949893835,2.561172692479083,24.712208170673584,450.7968636412665,57,96.76068144425248,4.444853528103854,Healthcare Facility,Industrial Robot,Medium,6
R15,Navigation,2025-01-02 03:33:00,2025-01-02 03:33:52,52000.0,Robot-to-Human,1877,86.3299299285562,748.7441286182751,1.077869979533193,4.852486846383835,22.49754437785222,116.62937810915648,92,92.39454714234387,4.031281116917543,Healthcare Facility,Service Robot,Medium,3
R72,Collaboration,2025-01-02 17:42:00,2025-01-02 17:42:32,32000.0,Robot-to-Human,707,86.76556320711805,351.63507665277814,0.41032733732451865,3.291469062400646,21.665355576240568,276.3174964536663,37,97.41793489633297,4.944115663549662,Factory Floor,Autonomous Vehicle,Complex,5
R78,Object Manipulation,2025-01-03 06:29:00,2025-01-03 06:29:20,20000.0,Robot-to-Network,571,69.82046996166434,722.6944186993263,0.9141121470370941,2.9972577109438476,20.82041937769919,304.05098273850945,65,97.17422080609987,1.3636190887639938,Factory Floor,Industrial Robot,Simple,6
R87,Navigation,2025-01-01 04:41:00,2025-01-01 04:41:43,43000.0,Robot-to-Network,662,97.29272341290445,848.3795984462533,1.2766017113340997,1.9897662774468694,21.933309270695453,160.78436666167903,31,92.02378502250893,0.7957162082746877,Healthcare Facility,Autonomous Vehicle,Simple,6
R62,Collaboration,2025-01-07 09:36:00,2025-01-07 09:36:29,29000.0,Robot-to-Network,1596,81.25404606291596,300.2770924663228,0.6491983298472306,2.9659626826133865,26.44904670972118,100.31311316737526,53,97.85286371347375,0.37907615315342147,Warehouse,Service Robot,Medium,3
R40,Navigation,2025-01-03 08:43:00,2025-01-03 08:43:17,17000.0,Robot-to-Network,939,53.16150434447738,924.1730446323145,0.9129009066380316,4.293633220402433,27.293383217868527,100.85443003386962,51,91.0612273935323,4.118215532443891,Factory Floor,Service Robot,Medium,3
R85,Object Manipulation,2025-01-01 20:35:00,2025-01-01 20:35:09,9000.0,Robot-to-Robot,1462,72.73686619397427,966.5636013913611,0.03472076513110256,2.3537389859226288,22.285463080139998,493.74509464895414,53,96.91794370810643,2.2631501422900313,Warehouse,Service Robot,Simple,1
